id,digest,ab_add2,ab_add3,size,chaoxiang,level,price,rent_type
173167878,荣丰2008 1室1厅1卫,西城,广安门租房,29平,东南,楼层中部/22层,3350元/月,整租
173046972,右内西街甲10号院 2室1厅1卫,西城,白纸坊租房,55平,南,楼层下部/6层,4800元/月,整租
172718817,铁二区    2室1厅1卫,西城,月坛租房,60平,南北,楼层中部/6层,7500元/月,整租
172595324,荣丰2008 1室1厅2卫,西城,广安门租房,31平,南,楼层中部/22层,5000元/月,整租
172726912,安华里一区 2室1厅1卫,朝阳,安贞租房,54平,南北,楼层上部/6层,6000元/月,整租
173586967,东兴二区 1室1厅1卫,顺义,顺义城租房,81平,南北,楼层上部/6层,3300元/月,整租
172922171,紫竹花园 3室2厅2卫,海淀,紫竹桥租房,221平,东南,楼层上部/27层,21000元/月,整租
172726899,安华西里三区 2室1厅1卫,朝阳,安贞租房,53平,南北,楼层下部/6层,6500元/月,整租
170299831,双槐里    2室1厅1卫,西城,牛街租房,44平,南北,楼层上部/7层,5500元/月,整租
172692743,天通苑本三区 3室1厅2卫,昌平,天通苑租房,162平,南,楼层中部/20层,7000元/月,整租
173689958,西豪逸景 2室1厅1卫,西城,广安门租房,96平,东,楼层上部/28层,8000元/月,整租
173393178,前进花园 3室1厅1卫,顺义,顺义城租房,92平,南北,楼层中部/6层,3800元/月,整租
173191423,丽水莲花二号院 2室1厅1卫,西城,广安门租房,90平,东,楼层中部/24层,7500元/月,整租
172680956,荣丰2008 1室1厅1卫,西城,广安门租房,34平,北,楼层中部/22层,5000元/月,整租
173614012,万科四季花城 3室1厅1卫,顺义,顺义城租房,118平,南北,楼层上部/11层,6000元/月,整租
172565486,广华轩    1室1厅1卫,西城,广安门租房,59平,东南,楼层上部/24层,5700元/月,整租
172251684,玉林东里三区 2室1厅1卫,丰台,右安门外租房,55平,南北,楼层中部/6层,4500元/月,整租
173738344,紫竹花园 3室2厅2卫,海淀,紫竹桥租房,211平,南北,楼层中部/18层,15000元/月,整租
172647647,国风北京 3室2厅2卫,朝阳,望京租房,141平,南北,楼层下部/12层,15000元/月,整租
171840835,美林花园 5室2厅9卫,海淀,紫竹桥租房,235平,西,楼层上部/28层,22000元/月,整租
173699220,万科四季花城 3室1厅1卫,顺义,顺义城租房,124平,南北,楼层上部/11层,7000元/月,整租
171039125,天通苑本三区 2室1厅1卫,昌平,天通苑租房,67平,南北,楼层中部/6层,4500元/月,整租
169561560,清芷园    3室2厅2卫,西城,陶然亭租房,148平,南北,楼层上部/14层,18000元/月,整租
173266884,中海雅园 3室2厅2卫,海淀,紫竹桥租房,154平,南北,楼层上部/22层,13500元/月,整租
172726971,安华里五区 3室1厅1卫,朝阳,安贞租房,68平,东西,楼层中部/6层,7500元/月,整租
172570224,世纪新景 3室2厅1卫,海淀,紫竹桥租房,173平,东北,楼层中部/21层,17000元/月,整租
173444449,龙跃苑三区 3室1厅2卫142.53平米,昌平,回龙观租房,142平,南北,楼层上部/6层,2500元/月,合租
173126199,世纪金色嘉园 2室2厅2卫,丰台,右安门外租房,131平,南,楼层下部/28层,12000元/月,整租
173734218,宝星国际 1室0厅1卫,朝阳,望京租房,73平,南,楼层下部/24层,6800元/月,整租
157075674,北纬40度二期 2室2厅1卫,朝阳,望京租房,96平,南北,楼层下部/29层,2700元/月,合租
173532494,万寿寺北里 2室1厅1卫,海淀,魏公村租房,73平,南,楼层下部/6层,9000元/月,整租
173603363,安华里四区 2室1厅1卫,朝阳,安贞租房,57平,东西,楼层上部/14层,5700元/月,整租
